ID,URL,ciudad,Zona,Barrio,Cordenada_latitud,cordenada_longitud,Tipo,piso,Estrato,Area_contruida,parqueaderos,Baños,Habitaciones,Precio
1564437042-4907,https://www.fincaraiz.com.co/casa-en-venta/cali/guadalupe-det-4327719.aspx,Cali,Zona Sur,guadalupe  ,3.405600071,-76.53681183,Casa,2,5,403,2,7,7,599000000
1564442091-9470,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4701461.aspx,Cali,Zona Sur,santa anita ,3.406637907,-76.53682709,Apartamento,,4,89,1,3,4,185000000
1564437042-5668,https://www.fincaraiz.com.co/casa-en-venta/cali/montebello-det-4486828.aspx,Cali,Zona Oeste,montebello  ,3.421782255,-76.53689575,Casa,,1,32,,1,1,30000000
1564437042-4214,https://www.fincaraiz.com.co/casa-en-venta/cali/santa_monica_residencial-det-4306916.aspx,Cali,Zona Oeste,santa mónica residencial,3.45600009,-76.53700256,Casa,2,5,1200,,6,10,1200000000
1564437042-1469,https://www.fincaraiz.com.co/casa-en-venta/cali/san_pedro-det-4738195.aspx,Cali,Zona Centro,san pedro ,3.448999882,-76.53700256,Casa,,5,755,,7,14,730000000
1564437042-1045,https://www.fincaraiz.com.co/casa-en-venta/cali/san_nicolas-det-4761313.aspx,Cali,Zona Centro,san nicolas ,3.450999975,-76.53700256,Casa,,5,129,,2,1,650000000
1564437042-4367,https://www.fincaraiz.com.co/casa-en-venta/cali/san_antonio-det-4505439.aspx,Cali,Zona Centro,san antonio ,3.446000099,-76.53700256,Casa,,3,306,,3,6,530000000
1564437042-3495,https://www.fincaraiz.com.co/casa-en-venta/cali/refugio-det-2342815.aspx,Cali,Zona Sur,el refugio ,3.40199995,-76.53700256,Casa,2,4,145,2,4,3,340000000
1564437042-1740,https://www.fincaraiz.com.co/casa-en-venta/cali/primero_mayo-det-4738147.aspx,Cali,Zona Sur,primero de mayo,3.405999899,-76.53700256,Casa,,5,117,1,1,2,260000000
1564437042-4321,https://www.fincaraiz.com.co/casa-en-venta/cali/parcelaciones_pance-det-4490195.aspx,Cali,Zona Sur,parcelaciones pance ,3.444000006,-76.53700256,Casa,2,6,296,2,4,3,870000000
1564437042-4520,https://www.fincaraiz.com.co/casa-en-venta/cali/panamericano-det-4481220.aspx,Cali,Zona Sur,panamericano  ,3.410000086,-76.53700256,Casa,,4,600,6,6,6,750000000
1564437042-5973,https://www.fincaraiz.com.co/casa-en-venta/cali/los_libertadores-det-2675704.aspx,Cali,Zona Sur,los libertadores ,3.443000078,-76.53700256,Casa,3,3,360,,6,1,550000000
1564437042-3751,https://www.fincaraiz.com.co/casa-en-venta/cali/junin-det-4643510.aspx,Cali,Zona Sur,junín  ,3.437999964,-76.53700256,Casa,1,3,147,,3,3,220000000
1564437042-5760,https://www.fincaraiz.com.co/casa-en-venta/cali/cristales-det-4195946.aspx,Cali,Zona Oeste,cristales  ,3.431999922,-76.53700256,Casa,3,6,420,2,5,5,750000000
1564437042-5350,https://www.fincaraiz.com.co/casa-en-venta/cali/ciudad_jardin-det-2667303.aspx,Cali,Zona Sur,ciudad jardín ,3.404000044,-76.53700256,Casa,,6,300,4,4,3,750000000
1564437042-4056,https://www.fincaraiz.com.co/casa-en-venta/cali/champagnat-det-4113579.aspx,Cali,Zona Sur,champagnat  ,3.427000046,-76.53700256,Casa,,4,200,1,5,5,400000000
1564437042-5043,https://www.fincaraiz.com.co/casa-en-venta/cali/cedro-det-4142793.aspx,Cali,Zona Norte,el cedro ,3.428999901,-76.53700256,Casa,,4,225,,4,6,400000000
1564437042-3342,https://www.fincaraiz.com.co/casa-en-venta/cali/cambulos-det-3524029.aspx,Cali,Zona Norte,cambulos  ,3.417999983,-76.53700256,Casa,,5,200,4,5,7,500000000
1564437042-2802,https://www.fincaraiz.com.co/casa-en-venta/cali/benjamin_herrera-det-3832480.aspx,Cali,Zona Oriente,benjamín herrera ,3.415999889,-76.53700256,Casa,,3,189,1,3,6,330000000
1564437042-937,https://www.fincaraiz.com.co/casa-en-venta/cali/alameda-det-4621266.aspx,Cali,Zona Sur,alameda  ,3.434999943,-76.53700256,Casa,2,3,102,,2,4,175000000
1564442091-6836,https://www.fincaraiz.com.co/apartamento-en-venta/cali/troncal-det-4306453.aspx,Cali,Zona Oriente,el troncal ,3.415999889,-76.53700256,Apartamento,4,3,61,,2,3,125000000
1564442091-13028,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_rita-det-3048846.aspx,Cali,Zona Oeste,santa rita ,3.453999996,-76.53700256,Apartamento,,5,140,2,4,4,395000000
1564442091-13510,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_monica_residencial-det-4312381.aspx,Cali,Zona Oeste,santa mónica residencial,3.45600009,-76.53700256,Apartamento,2,5,250,1,2,3,430000000
1564442091-12333,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4625097.aspx,Cali,Zona Sur,santa anita ,3.407000065,-76.53700256,Apartamento,,5,104,1,4,4,265000000
1564442091-11563,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4566063.aspx,Cali,Zona Sur,santa anita ,3.404999971,-76.53700256,Apartamento,4,4,90,2,3,3,230000000
1564442091-6841,https://www.fincaraiz.com.co/apartamento-en-venta/cali/san_bosco-det-4286176.aspx,Cali,Zona Centro,san bosco ,3.444000006,-76.53700256,Apartamento,4,3,59,,1,2,108000000
1564442091-14531,https://www.fincaraiz.com.co/apartamento-en-venta/cali/prado-det-3256689.aspx,Cali,Zona Oriente,el prado ,3.431999922,-76.53700256,Apartamento,,3,315,2,5,9,240000000
1564442091-10598,https://www.fincaraiz.com.co/apartamento-en-venta/cali/pacara-det-3832591.aspx,Cali,Zona Norte,pacará  ,3.415999889,-76.53700256,Apartamento,5,4,82,1,2,3,152000000
1564442091-10177,https://www.fincaraiz.com.co/apartamento-en-venta/cali/nueva_tequendama-det-4691970.aspx,Cali,Zona Sur,nueva tequendama ,3.414000034,-76.53700256,Apartamento,10,5,101,1,3,3,236000000
1564442091-6659,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4600528.aspx,Cali,Zona Oeste,juanambú  ,3.453000069,-76.53700256,Apartamento,6,5,292,2,5,3,980000000
1564442091-13672,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4379989.aspx,Cali,Zona Oeste,juanambú  ,3.45600009,-76.53700256,Apartamento,4,6,182,3,3,3,750000000
1564442091-15049,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4253216.aspx,Cali,Zona Oeste,juanambú  ,3.45600009,-76.53700256,Apartamento,6,6,208,3,3,3,770000000
1564442091-12772,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-3839765.aspx,Cali,Zona Oeste,juanambú  ,3.457000017,-76.53700256,Apartamento,,5,147,2,3,2,518000000
1564442091-6156,https://www.fincaraiz.com.co/apartamento-en-venta/cali/bochalema-det-4221758.aspx,Cali,Zona Sur,bochalema  ,3.415999889,-76.53700256,Apartamento,1,4,69,1,2,3,175000000
1564442091-11866,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4597152.aspx,Cali,Zona Sur,santa anita ,3.404925585,-76.53703308,Apartamento,1,5,141,1,2,3,260000000
1564437042-1349,https://www.fincaraiz.com.co/casa-en-venta/cali/juanambu-det-4783888.aspx,Cali,Zona Norte,juanambú  ,3.457744598,-76.53704834,Casa,3,6,468,7,8,7,950000000
1564442091-13403,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4410632.aspx,Cali,Zona Norte,juanambú  ,3.455699921,-76.53707123,Apartamento,2,5,150,2,3,3,450000000
1564442091-14587,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-3967979.aspx,Cali,Zona Norte,juanambú  ,3.456491947,-76.53707123,Apartamento,,6,117,2,2,2,430000000
1564437042-1700,https://www.fincaraiz.com.co/casa-en-venta/cali/san_antonio-det-4726169.aspx,Cali,Zona Oeste,san antonio ,3.444367409,-76.53709412,Casa,,3,168,,2,5,260000000
1564442091-8874,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4763966.aspx,Cali,Zona Sur,santa anita ,3.407453775,-76.53710175,Apartamento,2,5,110,2,3,2,295000000
1564437042-4612,https://www.fincaraiz.com.co/casa-en-venta/cali/cedro-det-4443822.aspx,Cali,Zona Sur,el cedro ,3.431619883,-76.537117,Casa,2,4,350,1,4,5,400000000
1564442091-7322,https://www.fincaraiz.com.co/apartamento-en-venta/cali/primero_mayo-det-4763657.aspx,Cali,Zona Sur,primero de mayo,3.451039791,-76.53712463,Apartamento,2,5,73,1,3,4,250000000
1564442091-6633,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-4752172.aspx,Cali,Zona Sur,valle del lili,3.451039791,-76.53713989,Apartamento,6,4,60,1,2,2,165000000
1564442091-10884,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4681650.aspx,Cali,Zona Norte,juanambú  ,3.456371069,-76.53714752,Apartamento,9,6,214,2,4,3,430133808
1564442091-15128,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-3182933.aspx,Cali,Zona Oeste,juanambu  ,3.455271244,-76.53715515,Apartamento,7,5,220,3,4,4,520000000
1564442091-9468,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4489385.aspx,Cali,Zona Sur,santa anita ,3.404535055,-76.53716278,Apartamento,8,5,137,1,3,3,395000000
1564442091-12257,https://www.fincaraiz.com.co/apartamento-en-venta/cali/santa_anita-det-4559042.aspx,Cali,Zona Sur,santa anita ,3.405344963,-76.53717804,Apartamento,7,5,165,2,3,3,350000000
1564442091-8639,https://www.fincaraiz.com.co/apartamento-en-venta/cali/juanambu-det-4744765.aspx,Cali,Zona Norte,juanambú  ,3.45649004,-76.53723907,Apartamento,4,6,85,2,3,2,450000000
